test_idx,spma_top5,attn_top5,jaccard
0,"42,50,54,110,142","26,10,38,42,58",0.111111
1,"4,40,64,80,140","99,87,103,127,59",0.000000
2,"28,48,76,140,144","84,104,8,72,111",0.000000
3,"36,48,84,112,132","101,117,141,17,123",0.000000
4,"74,94,110,118,134","61,69,1,97,20",0.000000
5,"20,24,40,72,148","123,101,117,141,47",0.000000
6,"32,100,112,124,148","32,80,60,64,52",0.111111
7,"32,52,56,60,144","29,53,129,133,13",0.000000
8,"6,38,54,66,110","22,50,82,62,66",0.111111
9,"8,28,40,52,72","111,7,75,115,65",0.000000
10,"8,24,88,108,140","84,104,8,72,111",0.111111
11,"32,44,56,96,136","101,117,141,17,123",0.000000
12,"22,30,62,98,118","6,146,70,86,98",0.111111
13,"16,28,64,72,120","67,79,5,149,23",0.000000
14,"4,40,60,64,96","8,72,84,104,7",0.000000
15,"4,20,68,100,140","25,33,57,73,109",0.000000
16,"38,54,58,102,106","30,34,65,85,2",0.000000
17,"68,84,108,128,136","67,79,5,149,23",0.000000
18,"24,60,72,80,148","52,128,60,64,137",0.111111
19,"0,68,76,100,128","29,53,129,133,13",0.000000
20,"26,58,62,90,106","34,30,65,85,54",0.000000
21,"20,40,88,92,112","123,101,117,141,47",0.000000
22,"100,128,132,140,144","16,148,4,56,76",0.000000
23,"0,16,100,128,136","29,53,129,133,13",0.000000
24,"86,114,118,138,146","18,90,114,126,14",0.111111
25,"4,28,40,136,140","55,19,35,137,52",0.000000
26,"0,4,84,104,112","24,44,88,28,48",0.000000
27,"8,16,20,28,108","81,9,49,93,45",0.000000
28,"30,34,54,90,106","110,118,14,78,122",0.000000
29,"8,24,68,92,116","15,95,143,61,69",0.000000
30,"20,24,88,108,136","60,64,52,128,32",0.000000
31,"0,24,64,92,148","77,105,113,125,9",0.000000
32,"10,70,82,90,134","34,30,65,85,54",0.000000
33,"8,52,56,68,88","107,119,99,59,87",0.000000
34,"44,112,120,128,136","52,128,60,64,137",0.111111
35,"20,40,44,52,136","5,149,17,67,79",0.000000
36,"6,10,54,94,110","18,90,114,126,14",0.000000
37,"0,44,48,104,116","23,47,63,17,28",0.000000
38,"28,44,52,84,136","112,120,36,136,144",0.111111
39,"12,36,64,112,140","65,85,7,75,115",0.000000
40,"6,46,90,126,134","34,30,65,85,54",0.000000
41,"52,72,96,108,136","59,87,103,127,99",0.000000
42,"4,32,56,100,116","8,72,84,104,7",0.000000
43,"72,84,104,136,148","113,125,13,77,105",0.000000
44,"10,22,78,90,126","2,54,130,41,145",0.000000
45,"24,72,84,88,96","3,31,51,39,91",0.000000
46,"4,44,60,64,72","116,32,80,40,112",0.000000
47,"16,72,92,108,140","121,21,37,27,83",0.000000
48,"2,26,30,118,134","118,110,14,78,122",0.111111
49,"36,96,104,124,148","39,91,135,27,83",0.000000
