query_id,spma_retrievals,attn_retrievals,jaccard
0,0;2;1;8;9,18;20;24;46;48,0.000000
1,1;0;2;3;5,35;59;65;71;73,0.000000
2,2;0;1;3;5,18;20;24;46;48,0.000000
3,3;0;2;1;5,83;93;97;101;119,0.000000
4,0;1;4;5,0;4;6;16;28,0.285714
5,1;0;2;4;5,35;59;65;71;73,0.000000
6,0;2;1;4;5,0;4;6;16;28,0.250000
7,0;1;2;3;5,35;59;65;71;73,0.000000
8,0;1;4;5,0;4;6;16;28,0.285714
9,0;1;8;9;10,35;59;65;71;73,0.000000
10,0;2;1;4;5,0;4;6;16;28,0.250000
11,1;0;8;9;10,35;59;65;71;73,0.000000
12,1;0;8;9;10,18;20;24;46;48,0.000000
13,0;1;2;4;5,35;59;65;71;73,0.000000
14,0;1;8;9;10,0;4;6;16;28,0.111111
15,0;1;8;9;10,35;59;65;71;73,0.000000
16,1;0;8;9;10,18;20;24;46;48,0.000000
17,0;1;2;3;5,3;19;21;33;39,0.111111
18,0;1;2;3;5,18;20;24;46;48,0.000000
19,1;0;8;9;10,35;59;65;71;73,0.000000
20,2;0;1;8;9,18;20;24;46;48,0.000000
21,1;0;2;8;9,83;93;97;101;119,0.000000
22,0;2;1;3;5,18;20;24;46;48,0.000000
23,0;3;1;2;8,83;93;97;101;119,0.000000
24,0;2;3;5,0;4;6;16;28,0.125000
25,0;1;4;5;6,35;59;65;71;73,0.000000
26,2;0;1;4;5,0;4;6;16;28,0.250000
27,2;0;1;3;5,3;19;21;33;39,0.111111
28,0;2;3;5,2;32;34;40;50,0.125000
29,0;1;2;3;5,35;59;65;71;73,0.000000
30,0;1;4;5,0;4;6;16;28,0.285714
31,2;3;0;1;4,35;59;65;71;73,0.000000
32,0;1;2;3;5,18;20;24;46;48,0.000000
33,0;2;1;4;5,35;59;65;71;73,0.000000
34,1;2;0;3;5,18;20;24;46;48,0.000000
35,3;2;0;1;8,83;93;97;101;119,0.000000
36,0;1;4;5,0;4;6;16;28,0.285714
37,0;2;1;8;9,83;93;97;101;119,0.000000
38,2;0;1;4;5,0;4;6;16;28,0.250000
39,0;1;2;4;5,35;59;65;71;73,0.000000
40,1;0;2;3;5,18;20;24;46;48,0.000000
41,3;2;1;0;4,35;59;65;71;73,0.000000
42,1;0;8;9;10,18;20;24;46;48,0.000000
43,3;0;2;1;8,83;93;97;101;119,0.000000
44,1;0;4;5;6,0;4;6;16;28,0.428571
45,0;2;1;4;5,35;59;65;71;73,0.000000
46,2;0;3;5,2;32;34;40;50,0.125000
47,2;3;0;1;4,35;59;65;71;73,0.000000
48,2;0;3;5,2;32;34;40;50,0.125000
49,2;0;1;3;4,35;59;65;71;73,0.000000
